# Reviews of pins that are behind their upstream. Read by tools/check-pin-reviews.sh.
#
#   package  pinned  reviewed_up_to  fine|held  date  what was read, and why
#
# fine: nothing released after the pin, up to reviewed_up_to, is a security fix
# that reaches Kryptik. held: something is, and the note says why the pin stays.
# A pin that has caught up has no row; a row for it fails, so this file shrinks.

# Reviewed 2026-09-19 from upstream NEWS and changelogs, project security
# pages, the Debian security tracker and NVD records. "Survey" below is
# check-source-currency.sh's newest-upstream column on that day.

# --- toolchain -----------------------------------------------------------------
binutils      2.43.1   2.47     fine  2026-09-19  NEWS 2.44 to 2.47 and the Debian tracker: every CVE since 2.43 is a crafted-input bug in tools that are only fed the project's own objects, and upstream's SECURITY.txt excludes them; no wrong-code or hardening fix found. 2.44 drops gold, which the recipe enables.
gcc           14.4.0   16.2.0   fine  2026-09-19  14.4.0 is the newest 14.x. 15 changes the default C standard and 16 the default C++ one; neither is a security release. GCC Bugzilla milestones for 14.3 and 14.4 were read when the pin moved off 14.2.0.
glibc         2.40     2.44     fine  2026-09-19  The tarball is 2.40 and build/patches/glibc-2.40 carries upstream's maintained release/2.40/master branch to cdaa5d6d (2026-09-10), which is where 2.40's security fixes live. Re-read that branch's head when this row is next reviewed.
mpc           1.3.1    1.4.1    fine  2026-09-19  NEWS 1.4.0 and 1.4.1: no security or wrong-result fix. 1.4.0 is to be skipped if this ever moves.

# --- held: a fix exists upstream and the pin stays, for the reason given -----------
zlib          1.3.1    1.3.2    held  2026-09-19  1.3.2 fixes CVE-2026-27171 (a CPU loop in crc32_combine when a caller passes a negative length; local, low). 1.3.2 also INTRODUCES CVE-2026-85091, a heap overflow in gz_vacate that 1.3.1 does not contain (checked: the function is absent). The fix, upstream df84af25dc, is in no release. Move when one carries it.
gzip          1.13     1.14     held  2026-09-19  CVE-2026-41992 (out-of-bounds access in the LZH decoder after a crafted .Z file in the same gzip -d run) affects 1.14 and earlier and is fixed only in upstream git, so moving to 1.14 fixes nothing. Carry upstream's patch, or move when 1.15 exists.
acl           2.3.2    2.4.0    held  2026-09-19  2.4.0 fixes CVE-2026-54370 (a race in setfacl, getfacl and chacl) and CVE-2026-54369 (libacl follows symlinks), and does not build with the pinned tar 1.35: both define acl_*_at. Needs the tar fix the LFS book carries. Bumping libacl does not fix its callers; each has to adopt the new functions.
readline      8.2      8.3      held  2026-09-19  No CVE, but 8.2 is built without its 13 official patches, which include a use-after-free and an unterminated paste buffer. 8.3 has to move together with bash 5.3, which needs four symbols new in it.

# --- fine: nothing in the gap is a security fix that reaches Kryptik ---------------
gawk          5.3.0    5.4.1    fine  2026-09-26  build/patches/gawk-5.3.0 carries upstream's fixes for CVE-2026-40467 (do_getline_redir use-after-free, a2d18c74), -40468 (do_sub and parse_escape overflows, 062f2f25) and -40553 (readdir extension, cca03661), made against 5.3.0's text; make check passes. -40469 (aa7272a6) guards 32-bit builds only and is not carried. 5.4 makes MinRX the default regex engine under every build script that calls awk, glibc's and the kernel's included: move in a build of its own, not in a batch.
shadow        4.16.0   4.20.2   fine  2026-09-26  build/patches/shadow-4.16.0 carries 4.17.0's sgetgrent use-after-free fix (8424d7c49462). No CVE is fixed in the gap (CVE-2024-56433 is unfixed upstream). 4.19 needs --disable-logind, 4.20 changes the login.defs line the recipe edits, removes PASS_MIN_DAYS and makes su - fail unless TIOCSTI is off. Target 4.19.4, with the recipe.
bash          5.2.32   5.3      fine  2026-09-19  Patches 5.2.33 to 5.2.37 and the 5.3 NEWS: no security fix found. 5.3 needs readline 8.3.
grep          3.11     3.12     fine  2026-09-19  NEWS 3.12: a failure of grep -r on directories with over 100,000 entries; no security fix.
